"filename", "language", "Markdown", "CMake", "Batch", "JSON with Comments", "Shell Script", "C++", "YAML", "GLSL", "C", "comment", "blank", "total"
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\sprints\sprint1.md", "Markdown", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 84
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\sprints\sprint2.md", "Markdown", 317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 435
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\sprints\sprint3.md", "Markdown", 315, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 422
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\CMakeLists.txt", "CMake", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 12, 88
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\app\SampleScene.cpp", "C++", 0, 0, 0, 0, 0, 51, 0, 0, 0, 7, 17, 75
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\app\Application.h", "C++", 0, 0, 0, 0, 0, 30, 0, 0, 0, 18, 12, 60
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\assets\AssetImporter.h", "C++", 0, 0, 0, 0, 0, 71, 0, 0, 0, 67, 27, 165
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\assets\ModelData.h", "C++", 0, 0, 0, 0, 0, 14, 0, 0, 0, 8, 5, 27
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\Buffer.h", "C++", 0, 0, 0, 0, 0, 19, 0, 0, 0, 21, 11, 51
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\Camera.h", "C++", 0, 0, 0, 0, 0, 87, 0, 0, 0, 102, 48, 237
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\CameraController.h", "C++", 0, 0, 0, 0, 0, 50, 0, 0, 0, 7, 12, 69
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\FrameClearInfo.h", "C++", 0, 0, 0, 0, 0, 37, 0, 0, 0, 4, 7, 48
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\InitContext.h", "C++", 0, 0, 0, 0, 0, 7, 0, 0, 0, 9, 4, 20
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\KeyboardInput.h", "C++", 0, 0, 0, 0, 0, 16, 0, 0, 0, 30, 10, 56
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\Material.h", "C++", 0, 0, 0, 0, 0, 51, 0, 0, 0, 28, 25, 104
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\Mesh.h", "C++", 0, 0, 0, 0, 0, 25, 0, 0, 0, 9, 9, 43
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\MeshBuffer.h", "C++", 0, 0, 0, 0, 0, 36, 0, 0, 0, 25, 11, 72
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\MeshData.h", "C++", 0, 0, 0, 0, 0, 29, 0, 0, 0, 4, 6, 39
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\MouseInput.h", "C++", 0, 0, 0, 0, 0, 24, 0, 0, 0, 35, 12, 71
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\Primitives.h", "C++", 0, 0, 0, 0, 0, 39, 0, 0, 0, 41, 23, 103
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\RenderQueue.h", "C++", 0, 0, 0, 0, 0, 37, 0, 0, 0, 21, 11, 69
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\Renderer.h", "C++", 0, 0, 0, 0, 0, 78, 0, 0, 0, 23, 14, 115
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\ShaderProgram.h", "C++", 0, 0, 0, 0, 0, 35, 0, 0, 0, 12, 11, 58
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\SubMesh.h", "C++", 0, 0, 0, 0, 0, 10, 0, 0, 0, 21, 5, 36
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\SubmissionContext.h", "C++", 0, 0, 0, 0, 0, 31, 0, 0, 0, 10, 6, 47
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\Texture2D.h", "C++", 0, 0, 0, 0, 0, 41, 0, 0, 0, 22, 15, 78
"c:\Users\Alibegovici\Desktop\ETF\Treca godina\Softverski inzinjering\opengl-forward-renderer\src\include\core\Transform.h", "C++", 0, 0, 0, 0, 0, 27, 0, 0, 0, 65, 22, 114
